id,post,"created at"
66,"In Brazil’s northeast state Pernambuco, an all-female dance troupe performs an Afro-Indigenous dance, traditionally done by men during the nation’s popular annual festival Carnival.<br /><br />Whether in the arts, media or entertainment, women use their art form to change public discourse and shape perceptions on equality.<br /><br />Tuesday is International Women&#39;s Day and people all over the world are taking action to achieve <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Planet5050"">#Planet5050</a> by 2030.<br /><br />Let us know how YOU are stepping up for gender equality!<br /><br />@unwomen /Lianne Milton<br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23GlobalGoals"">#GlobalGoals</a>﻿","2016-03-09 03:15:42"
67,"Get the balance right! Gender equality in ‪#‎journalism‬! <a href=""http://on.unesco.org/1SsfglO"">http://on.unesco.org/1SsfglO</a> ‪#‎InternationalWomensDay‬ ‪#‎IWD2016‬ ‪#‎WomenMaketheNews‬ ﻿","2016-03-09 01:46:48"
68,"Fact: Gender inequality and high rates of hunger go hand-in-hand.<br /><br />Fact: An increased participation of women in the labour force has positive effects on economic growth, which has positive impacts on food security and nutrition.<br /><br />On International Women&#39;s Day tell us how you are stepping up for gender equality! <br /><br />Via <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/108701718585694913647"" oid=""108701718585694913647"">Zero Hunger</a></span> <br /><br /> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23planet5050"">#planet5050</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23zerohunger"">#zerohunger</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23globalgoals"">#globalgoals</a>  ﻿","2016-03-08 22:43:38"
69,"For International Womens Day, check out UN Women&#39;s interactive timeline spotlighting remarkable women throughout history: <a href=""http://ow.ly/YNAH1"">http://ow.ly/YNAH1</a> <br /><br />via +unwomen <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Planet5050"">#Planet5050</a>﻿","2016-03-08 22:10:52"
70,"Today is International Women&#39;s Day -- a chance step up for gender equality and help achieve Planet 50-50 by 2030!<br /><br />The Global Goals for Sustainable Development aim, by 2030, to end all forms of discrimination and violence against all women and girls everywhere, ensure that girls and boys have access to quality education, ensure women’s full and effective participation and equal opportunities and much more.<br /><br />This Women&#39;s Day, tell us how you are stepping up for gender equality!<br /><br />Get photos, video and more from <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/118032318774774971832"" oid=""118032318774774971832"">UN Women</a></span>  here: <a href=""http://ow.ly/YFmPg"">http://ow.ly/YFmPg</a><br /><br />‪#‎IWD2016‬﻿","2016-03-08 21:50:50"
71,"Ahead of International Women&#39;s Day on 8 March, learn how gender stereotypes hold women and girls back.<br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Planet5050"">#Planet5050</a> means opportunities for all.<br /><br />Learn more here: <a href=""http://ow.ly/YLlna"">http://ow.ly/YLlna</a><br /><br />via <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/118032318774774971832"" oid=""118032318774774971832"">UN Women</a></span>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23planet5050"">#planet5050</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23globalgoals"">#globalgoals</a>﻿","2016-03-08 05:35:20"
72,"Participate in ‪#‎OurWorldHeritage‬ photo &amp; story ‪#‎contest‬ on ‪#‎Instagram‬! <a href=""http://www.instagram.com/p/BCiJpcqnRIW/"">http://www.instagram.com/p/BCiJpcqnRIW/</a>﻿","2016-03-07 21:59:31"
73,"Congratulations to fashion designer ALPHADI of Niger who has been designated UNESCO Artist for Peace!<br /><br />The designation comes in recognition of Alphadi’s commitment to culture and development at the service of peace, respect and human dignity, for his contribution to the promotion of tolerance and for his dedication to the ideals of the Organization.<br /><br />Via +UNESCO <br /><br /><a href=""http://ow.ly/Z1Y6D"">http://ow.ly/Z1Y6D</a>﻿","2016-03-07 03:10:30"
74,"Young refugees from war-torn African countries and Ugandans join each other on stage at the National Theatre to act out their stories of flight and integration.<br /><br />The three-hour-show, supported by UNHCR, aims to encourage audiences to get to know refugees, highlight their resilience and dispel myths about them as passive receivers of aid or threats to local jobs.<br /><br />via +unitednationshumanrights<br /><br /> <a href=""http://ow.ly/Z1EJJ"">http://ow.ly/Z1EJJ</a>﻿","2016-03-06 21:15:38"
75,"Do you have questions to ask the future Secretary-General of the UN?<br />The President of the UN General Assembly (PGA) is organizing informal dialogues between UN Member States and candidates for UN Secretary-General starting in April 2016.<br /><br />The Office of PGA has requested UN Non-Governmental Liaison Service NGLS to facilitate a process with civil society to provide questions that can be asked to candidates during these dialogues.<br /><br />Submit your questions in writing, video or audio by 20 March: <a href=""http://www.unngls.world/"">http://www.unngls.world/</a>﻿","2016-03-06 03:31:02"
76,"Members of the local community near an explosive remnant of war in the territory of Western Sahara.<br /><br />Western Sahara is contaminated with landmines as a result of several years of fighting. It is one of the most heavily mined territories in the world, with over 2500 casualties since 1975.<br /><br />While UN military observers work to monitor the ceasefire, the humanitarian activities of the UN Mine Action Service reduce the threat and impact of landmines, which continue to endanger the lives of nomadic and local populations.<br /><br />Learn more about UNMAS here: <a href=""http://mineaction.org/unmas/"">http://mineaction.org/unmas/</a> <br />Photos: UNMAS <a href=""http://ow.ly/i/hfw1A"">http://ow.ly/i/hfw1A</a> <a href=""http://ow.ly/i/hfw1Q"">http://ow.ly/i/hfw1Q</a>﻿","2016-03-05 21:15:44"
77,"Thanks to World Food Programme, kids in Haiti can have nutritious school meals with local products.<br /><br />Here are 10 steps to follow for the delicious home-grown school meals.<br /><br /> <a href=""http://ow.ly/Z5jb2"">http://ow.ly/Z5jb2</a>﻿","2016-03-05 05:30:39"
78,"Nearly a year of conflict in Yemen has exacted a dreadful toll on civilians. 21.2 million people, 85% of the total population in the country, are in need of humanitarian assistance.<br /><br />Here is the overview of the crisis and planned humanitarian response by UN OCHA Yemen: <a href=""http://ochayemen.org/hrp2016/infographic.html"">http://ochayemen.org/hrp2016/infographic.html</a>﻿","2016-03-04 21:39:23"
79,"On #‎WorldWildlifeDay‬, join the collective push to fight the illegal trade in wildlife.<br /><br />Tell the world how the future of wildlife is in our hands. Get creative and post a picture that shows just that with hashtag ‪#‎InOurHands‬!<br /><br /><a href=""http://www.wildlifeday.org/"">http://www.wildlifeday.org/</a> ‪#‎WWD2016‬﻿","2016-03-03 23:04:30"
80,"The future of wildlife is <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23InOurHands"">#InOurHands</a>. <br /><br />Organized crime is impacting the world’s forests and animals. Criminal networks are generating massive illicit profits at the expense of these fauna and flora and harming the people who depend on them. <br /><br />Visit <a href=""http://www.wildlifeday.org/"">http://www.wildlifeday.org/</a> to find out more.<br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23InOurhands"">#InOurhands</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23WWD2016"">#WWD2016</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23WorldWildLifeDay"">#WorldWildLifeDay</a>﻿","2016-03-03 18:55:30"
81,"Want tips on what YOU can do for <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23GlobalGoals"">#GlobalGoals</a>? <br /><br />Find out more here: <a href=""http://bit.ly/1oxK6x3"">http://bit.ly/1oxK6x3</a>﻿","2016-03-03 04:05:35"
82,"Are you from a developing country and want to share a compelling story of a new innovation or solution for climate change?<br /><br />Then you could be chosen to speak at the signing ceremony of the historic Paris Agreement!<br /><br />Apply by 13 March for the Civil Society Selection Committee for this process: <a href=""http://bit.ly/22April-Paris-Agreement-Signing-SC-Apply"">http://bit.ly/22April-Paris-Agreement-Signing-SC-Apply</a><br /><br />Apply by 16 March for Civil Society Speaking Role in the opening session: <a href=""https://docs.google.com/forms/d/1G-WEfgqZbvd6WZLeUnzGByfNt4SvwPp949T2tOma5t4/viewform"">https://docs.google.com/forms/d/1G-WEfgqZbvd6WZLeUnzGByfNt4SvwPp949T2tOma5t4/viewform</a>﻿","2016-03-02 22:24:23"
83,"The UN has received many awards in its 70 years, but did you know that it has also won an Oscar?<br /><br />In fact, Oscar still resides at UN Headquarters in New York and occasionally takes a tour of the building!<br /><br />In 1947, the UN short film “First Steps” -- which focuses on children with disabilities -- won the Academy Award for Documentary Short Subject.<br /><br />The 10-minute piece about the treatment of children with disabilities takes us on the journey of one young boy as he learns to walk. While several aspects of the film are now outdated, its overall theme of achieving a life of dignity for all is one that continues to guide the work of the UN.<br /><br />Watch the piece at: <a href=""http://ow.ly/YSW0a"">http://ow.ly/YSW0a</a>  <br /><br />#‎Oscars2016‬﻿","2016-03-02 07:30:55"
84,"What do cucumbers, mustard, almonds and alfalfa have in common? On the surface very little. But there is one thing they share: they all owe their existence to the service of #‎bees: <a href=""http://bit.ly/1oH8dds"">http://bit.ly/1oH8dds</a>﻿","2016-03-01 21:34:37"
85,"Discrimination is a violation of human rights and must not go unchallenged. <br /><br />This Zero Discrimination Day, by joining our voices together, we can be part of a resounding call for compassion, tolerance and peace that cannot be ignored.<br /><br />People worldwide are invited to express what discrimination means to them, which will be displayed on UNAIDS’ “White Table Gallery” ttp://<a href=""http://www.whitetablegallery.org/"">www.whitetablegallery.org/</a><br /><br />Everyone can contribute to the gallery by drawing a butterfly, sending a quote, sending a selfie holding a butterfly sign or a paper with the <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Zerodiscrimination"">#Zerodiscrimination</a> hashtag, sending a video or a gif explaining the personal meaning of discrimination. <br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23zerodiscrimination"">#zerodiscrimination</a>﻿","2016-03-01 17:45:28"
86,"&quot;When you are young, the future is open — and so is the world. Now is the time to choose the rocky road instead of the paved path. You may have to move many obstacles on your journey to success, but when you arrive you will be much stronger for the effort.&quot;<br /><br />Secretary-General Ban Ki-moon shares career advice in his latest LinkedIn Pulse piece here: <a href=""http://ow.ly/YTAHu"">http://ow.ly/YTAHu</a>﻿","2016-03-01 04:20:17"
87,"On last Week&#39; Secretary-General Ban Ki-moon &quot;Mission for Humanity&quot; trip, the Chief of the United Nations visited the Democratic Republic of the Congo (DRC), Burundi and South Sudan.<br /><br />While there, he met with children and students, refugees and internally displaced persons, civil society members and politicians ahead of this year&#39;s World Humanitarian Summit.<br /><br />“We have to give hope to young people.<br />Displaced people need to be given the opportunity to rebuild their lives.&quot;<br /><br />Learn more about the World Humanitarian Summit here: <a href=""https://www.worldhumanitariansummit.org/"">https://www.worldhumanitariansummit.org/</a> <br /><br /> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23sharehumanity"">#sharehumanity</a>  <br /><br />+WorldHumanitarianSummitorg ﻿","2016-03-01 00:13:55"
88,"Thanks to Leonardo DiCaprio for using his ‪#‎Oscars‬ acceptance speech to remind people that 2015 was the hottest year on record and that we need to support indigenous peoples and those most affected by climate change.<br /><br />&quot;Climate change is real. It is happening right now, it is the most urgent threat facing our entire species and we need to work collectively... Let us not take this planet for granted.&quot;<br /><br /> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23oscars"">#oscars</a>     <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23globalgoals"">#globalgoals</a>    <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23oscars2016"">#oscars2016</a>  <br /><br />Learn more here: <a href=""http://www.un.org/sustainabledevelopment/"">http://www.un.org/sustainabledevelopment/</a> ﻿","2016-02-29 21:43:51"
89,"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23TBT"">#TBT</a> United Nations members at a folk dance festival at the UN Secretariat lounge in Lake Success, New York in March 1947.<br /><br />From security officers to engineers to statisticians to aid workers to social media managers and so much more, UN staff work come from and work across the world to meet global challenges, bringing not only a wide range of expertise, but fresh and varied perspectives and approaches.<br /><br />Members of this diverse workforce are expected to uphold the highest standards of efficiency and integrity. Whatever their role, they commit to working towards the Organization&#39;s goals and principles as laid out in our guiding document -- the Charter of the United Nations.<br /><br />United Nations (Lake Success), New York<br /><br />Photo: <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23UN"">#UN</a> Photo﻿","2016-02-28 23:10:46"
